Fecha,Producto,Categoria,Cantidad,Monto
2025-11-07,Hub USB-C 7 en 1,Periféricos,4,147840
2025-11-08,Switch 8 puertos D-Link,Redes,2,60620
2025-11-09,Notebook HP 15s,Computación,2,1098920
2025-11-13,Headset Gamer HyperX,Audio,1,83600
2025-11-14,SSD Samsung 500GB,Almacenamiento,2,117180
2025-11-15,Teclado Mecánico Redragon,Periféricos,1,68530
2025-11-17,"Monitor 24"" Full HD",Periféricos,1,169620
2025-11-18,PC Escritorio Dell,Computación,1,724890
2025-11-18,Pendrive SanDisk 128GB,Almacenamiento,1,18760
2025-11-19,Repetidor WiFi Mercusys,Redes,2,50640
2025-11-19,Notebook HP 15s,Computación,1,591840
2025-11-19,Auriculares Sony WH-1000XM5,Audio,1,191260
2025-11-20,Pendrive SanDisk 128GB,Almacenamiento,1,20630
2025-11-21,SSD Samsung 500GB,Almacenamiento,1,55400
2025-11-28,Auriculares Sony WH-1000XM5,Audio,1,187650
2025-11-28,Notebook HP 15s,Computación,1,523580
2025-11-29,Router TP-Link AX3000,Redes,3,224730
2025-11-30,Repetidor WiFi Mercusys,Redes,1,23080
2025-12-01,Headset Gamer HyperX,Audio,1,82330
2025-12-02,Notebook HP 15s,Computación,2,1100160
2025-12-04,Webcam Logitech C920,Periféricos,1,85430
2025-12-09,Auriculares Sony WH-1000XM5,Audio,3,596760
2025-12-10,Notebook HP 15s,Computación,2,1134700
2025-12-13,Parlante Bluetooth JBL Flip 6,Audio,1,88670
2025-12-16,Mini PC Intel NUC,Computación,3,1087260
2025-12-17,"Monitor 24"" Full HD",Periféricos,2,333500
2025-12-23,Auriculares Sony WH-1000XM5,Audio,3,583800
2025-12-25,Switch 8 puertos D-Link,Redes,3,94680
2025-12-25,Disco Externo WD 2TB,Almacenamiento,5,413050
2025-12-28,SSD Kingston 1TB,Almacenamiento,1,92320
2025-12-30,Router TP-Link AX3000,Redes,2,147960
2025-12-30,Hub USB-C 7 en 1,Periféricos,1,35710
2025-12-30,Teclado Mecánico Redragon,Periféricos,1,70870
2026-01-01,Teclado Mecánico Redragon,Periféricos,2,147420
2026-01-07,Notebook HP 15s,Computación,1,557990
2026-01-11,Mini PC Intel NUC,Computación,1,418810
2026-01-11,"Monitor 24"" Full HD",Periféricos,2,353280
2026-01-12,Switch 8 puertos D-Link,Redes,3,96090
2026-01-15,Pendrive SanDisk 128GB,Almacenamiento,1,19310
2026-01-18,Notebook Lenovo IdeaPad,Computación,2,982060
2026-01-21,Micrófono Blue Yeti,Audio,5,738700
2026-01-24,Disco Externo WD 2TB,Almacenamiento,1,81610
2026-01-25,Headset Gamer HyperX,Audio,2,168480
2026-01-26,Notebook HP 15s,Computación,1,549170
2026-01-26,Repetidor WiFi Mercusys,Redes,1,23070
2026-01-26,Teclado Mecánico Redragon,Periféricos,1,74000
2026-01-27,Mouse Logitech MX Master,Periféricos,1,84170
2026-01-27,Router TP-Link AX3000,Redes,2,162040
2026-01-28,SSD Kingston 1TB,Almacenamiento,1,86710
2026-01-30,SSD Kingston 1TB,Almacenamiento,3,255990
2026-02-01,Headset Gamer HyperX,Audio,1,80820
2026-02-01,Headset Gamer HyperX,Audio,2,152020
2026-02-02,Micrófono Blue Yeti,Audio,1,143430
2026-02-06,Notebook Lenovo IdeaPad,Computación,1,453280
2026-02-07,Switch 8 puertos D-Link,Redes,1,29750
2026-02-07,Switch 8 puertos D-Link,Redes,4,121040
2026-02-16,Mini PC Intel NUC,Computación,1,361520
2026-02-17,PC Escritorio Dell,Computación,3,1953390
2026-02-21,PC Escritorio Dell,Computación,3,2188980
2026-03-04,SSD Samsung 500GB,Almacenamiento,5,312300
2026-03-05,Repetidor WiFi Mercusys,Redes,1,25200
2026-03-05,Hub USB-C 7 en 1,Periféricos,1,36010
2026-03-08,Teclado Mecánico Redragon,Periféricos,1,65330
2026-03-09,Notebook HP 15s,Computación,2,1148180
2026-03-09,Webcam Logitech C920,Periféricos,1,82140
2026-03-10,Repetidor WiFi Mercusys,Redes,1,24300
2026-03-11,Disco Externo WD 2TB,Almacenamiento,4,331160
2026-03-15,Notebook Lenovo IdeaPad,Computación,3,1354680
2026-03-17,PC Escritorio Dell,Computación,1,693950
2026-03-21,Router TP-Link AX3000,Redes,2,159000
2026-03-21,Hub USB-C 7 en 1,Periféricos,2,72900
2026-03-22,Router TP-Link AX3000,Redes,4,304720
2026-03-29,Notebook HP 15s,Computación,2,1148960
2026-03-30,Notebook HP 15s,Computación,1,529380
2026-04-03,Repetidor WiFi Mercusys,Redes,2,51280
2026-04-03,Notebook HP 15s,Computación,2,1092740
2026-04-04,Hub USB-C 7 en 1,Periféricos,1,36200
2026-04-04,Router TP-Link AX3000,Redes,2,150460
2026-04-04,Notebook HP 15s,Computación,2,1085160
2026-04-04,Pendrive SanDisk 128GB,Almacenamiento,2,41020
2026-04-05,Headset Gamer HyperX,Audio,1,80740
2026-04-05,Notebook HP 15s,Computación,2,1115400
2026-04-06,Webcam Logitech C920,Periféricos,2,147360
2026-04-08,Hub USB-C 7 en 1,Periféricos,1,34840
2026-04-09,Micrófono Blue Yeti,Audio,3,425970
2026-04-11,Parlante Bluetooth JBL Flip 6,Audio,1,89170
2026-04-14,Switch 8 puertos D-Link,Redes,2,62900
2026-04-16,Parlante Bluetooth JBL Flip 6,Audio,1,90280
2026-04-17,Notebook Lenovo IdeaPad,Computación,1,499840
2026-04-26,Router TP-Link AX3000,Redes,1,79420
2026-04-28,Pendrive SanDisk 128GB,Almacenamiento,3,61860
2026-04-29,Router TP-Link AX3000,Redes,1,77190
2026-05-03,Router TP-Link AX3000,Redes,1,80900
2026-05-04,Hub USB-C 7 en 1,Periféricos,3,107820
2026-05-07,Headset Gamer HyperX,Audio,2,159520
2026-05-08,Repetidor WiFi Mercusys,Redes,1,24430
2026-05-09,Notebook Lenovo IdeaPad,Computación,1,466610
2026-05-09,Auriculares Sony WH-1000XM5,Audio,1,208900
2026-05-10,Switch 8 puertos D-Link,Redes,2,63740
2026-05-12,SSD Samsung 500GB,Almacenamiento,1,59380
