OrderID,OrderDate,CustomerID,ProductName,Category,Quantity,UnitPrice
10001,2024-01-02,CLI-0058,Notebook Dell Inspiron,Laptops,3,662320
10002,2024-01-02,CLI-0126,"Monitor UltraWide 34""",Monitores,1,562650
10003,2024-01-02,CLI-0053,AutoCAD LT 2025,Software,3,630970
10004,2024-01-02,CLI-0280,Chromebook Acer,Laptops,2,297270
10005,2024-01-02,CLI-0017,Notebook Dell Inspiron,Laptops,1,592930
10006,2024-01-02,CLI-0120,NAS Synology DS220+,Almacenamiento,2,484180
10007,2024-01-02,CLI-0288,"Monitor Curvo 32"" QHD",Monitores,3,418590
10008,2024-01-02,CLI-0280,Micrófono Blue Yeti X,Audio,1,199950
10009,2024-01-02,CLI-0143,Notebook HP 15s,Laptops,3,541150
10010,2024-01-02,CLI-0082,Windows 11 Pro,Software,2,124940
10011,2024-01-03,CLI-0143,Workstation HP Z2,Desktops,1,1338060
10012,2024-01-03,CLI-0173,PC Escritorio Dell OptiPlex,Desktops,1,727400
10013,2024-01-03,CLI-0050,Dock Station HP,Perifericos,5,204200
10014,2024-01-03,CLI-0136,MacBook Air M2,Laptops,3,1166550
10015,2024-01-03,CLI-0275,All-in-One HP 24,Desktops,10,783410
10016,2024-01-03,CLI-0194,Chromebook Acer,Laptops,2,298530
10017,2024-01-03,CLI-0186,Switch Cisco 24p,Redes,1,237570
10018,2024-01-04,CLI-0036,MacBook Air M2,Laptops,3,1178390
10019,2024-01-04,CLI-0149,Chromebook Acer,Laptops,5,289830
10020,2024-01-04,CLI-0052,AirPods Pro 2,Audio,1,257290
10021,2024-01-04,CLI-0187,"Monitor LG 27"" 4K",Monitores,1,329820
10022,2024-01-04,CLI-0108,Adobe Creative Cloud,Software,1,76150
10023,2024-01-04,CLI-0037,Router TP-Link Archer,Redes,3,82900
10024,2024-01-04,CLI-0274,Mouse Logitech MX Master 3,Perifericos,1,94120
10025,2024-01-04,CLI-0195,Teclado Mecánico Keychron K2,Perifericos,12,153950
10026,2024-01-04,CLI-0286,"Monitor UltraWide 34""",Monitores,3,568040
10027,2024-01-05,CLI-0029,"Monitor UltraWide 34""",Monitores,4,561840
10028,2024-01-05,CLI-0162,Headset Logitech G535,Audio,1,90760
10029,2024-01-05,CLI-0109,Switch Cisco 24p,Redes,5,252360
10030,2024-01-05,CLI-0162,"Monitor Portátil 15""",Monitores,3,193720
10031,2024-01-05,CLI-0203,Antivirus ESET 3 PCs,Software,2,36990
10032,2024-01-05,CLI-0136,Mini PC ASUS PN50,Desktops,1,445430
10033,2024-01-05,CLI-0288,SSD Externo Samsung T7,Almacenamiento,1,85880
10034,2024-01-05,CLI-0300,Parlante UE Boom 3,Audio,6,98530
10035,2024-01-08,CLI-0205,Auriculares Sony XM5,Audio,1,229980
10036,2024-01-08,CLI-0071,NAS Synology DS220+,Almacenamiento,2,492610
10037,2024-01-08,CLI-0025,All-in-One HP 24,Desktops,1,788010
10038,2024-01-08,CLI-0082,AutoCAD LT 2025,Software,2,630140
10039,2024-01-08,CLI-0033,AirPods Pro 2,Audio,1,236670
10040,2024-01-08,CLI-0240,Pendrive Kingston 256GB,Almacenamiento,1,23080
10041,2024-01-09,CLI-0284,Notebook HP 15s,Laptops,3,546640
10042,2024-01-09,CLI-0059,AutoCAD LT 2025,Software,5,594820
10043,2024-01-09,CLI-0137,Antivirus ESET 3 PCs,Software,1,39230
10044,2024-01-09,CLI-0151,Parlante UE Boom 3,Audio,1,96810
10045,2024-01-09,CLI-0002,Teclado Apple Magic,Perifericos,10,102070
10046,2024-01-10,CLI-0092,NAS Synology DS220+,Almacenamiento,6,496650
10047,2024-01-10,CLI-0153,Licencia Office 365 Anual,Software,2,89260
10048,2024-01-10,CLI-0102,Workstation HP Z2,Desktops,1,1252620
10049,2024-01-10,CLI-0083,SSD Externo Samsung T7,Almacenamiento,8,84180
10050,2024-01-10,CLI-0272,Notebook HP 15s,Laptops,2,564130
10051,2024-01-10,CLI-0251,Notebook Dell Inspiron,Laptops,1,615600
10052,2024-01-10,CLI-0186,Hub USB-C Anker,Perifericos,1,52370
10053,2024-01-10,CLI-0124,Switch Cisco 24p,Redes,8,242230
10054,2024-01-11,CLI-0044,Disco Externo Seagate 4TB,Almacenamiento,4,108510
10055,2024-01-11,CLI-0273,Mini PC ASUS PN50,Desktops,1,416990
10056,2024-01-11,CLI-0244,Router Eero Pro 6,Redes,1,299700
10057,2024-01-11,CLI-0271,Router TP-Link Archer,Redes,2,87540
10058,2024-01-11,CLI-0109,SSD Externo Samsung T7,Almacenamiento,3,84870
10059,2024-01-11,CLI-0103,Hub USB-C Anker,Perifericos,1,51500
10060,2024-01-11,CLI-0192,Soundbar LG,Audio,6,152090
10061,2024-01-11,CLI-0232,All-in-One HP 24,Desktops,1,757830
10062,2024-01-11,CLI-0033,Soporte Laptop Ergotron,Perifericos,1,74750
10063,2024-01-12,CLI-0284,"Monitor UltraWide 34""",Monitores,2,548820
10064,2024-01-12,CLI-0004,Notebook ASUS VivoBook,Laptops,3,469290
10065,2024-01-12,CLI-0031,"Monitor UltraWide 34""",Monitores,1,588520
10066,2024-01-12,CLI-0017,Soporte Laptop Ergotron,Perifericos,1,70790
10067,2024-01-12,CLI-0122,Teclado Mecánico Keychron K2,Perifericos,3,149350
10068,2024-01-12,CLI-0110,SSD Externo Samsung T7,Almacenamiento,1,86630
10069,2024-01-12,CLI-0293,Switch Cisco 24p,Redes,2,243250
10070,2024-01-15,CLI-0243,Micrófono Blue Yeti X,Audio,1,191630
10071,2024-01-15,CLI-0050,Adobe Creative Cloud,Software,2,74980
10072,2024-01-15,CLI-0217,Micrófono Blue Yeti X,Audio,2,195230
10073,2024-01-15,CLI-0028,AutoCAD LT 2025,Software,3,578990
10074,2024-01-15,CLI-0051,Notebook Lenovo ThinkPad,Laptops,2,871670
10075,2024-01-16,CLI-0174,PC Escritorio Dell OptiPlex,Desktops,1,706130
10076,2024-01-16,CLI-0098,SSD Externo Samsung T7,Almacenamiento,2,88130
10077,2024-01-16,CLI-0217,"Monitor Samsung 24"" FHD",Monitores,1,178960
10078,2024-01-16,CLI-0128,Notebook ASUS VivoBook,Laptops,2,493170
10079,2024-01-16,CLI-0282,PC Escritorio Dell OptiPlex,Desktops,1,679510
10080,2024-01-17,CLI-0277,Notebook HP 15s,Laptops,10,524490
10081,2024-01-17,CLI-0122,"Monitor LG 27"" 4K",Monitores,2,377560
10082,2024-01-17,CLI-0247,"Monitor Portátil 15""",Monitores,5,212520
10083,2024-01-17,CLI-0031,"Monitor LG 27"" 4K",Monitores,1,363910
10084,2024-01-17,CLI-0200,Teclado Apple Magic,Perifericos,6,106240
10085,2024-01-17,CLI-0233,Webcam Logitech C925e,Perifericos,2,106280
10086,2024-01-18,CLI-0285,Adobe Creative Cloud,Software,3,76670
10087,2024-01-18,CLI-0080,"Monitor Curvo 32"" QHD",Monitores,1,422830
10088,2024-01-18,CLI-0030,Access Point Ubiquiti U6,Redes,3,263230
10089,2024-01-18,CLI-0032,Mousepad XL RGB,Perifericos,1,28330
10090,2024-01-18,CLI-0300,SSD NVMe Kingston 500GB,Almacenamiento,2,56910
10091,2024-01-18,CLI-0272,"Monitor LG 27"" 4K",Monitores,1,355560
10092,2024-01-18,CLI-0261,Chromebook Acer,Laptops,5,317970
10093,2024-01-18,CLI-0036,Router TP-Link Archer,Redes,1,85620
10094,2024-01-19,CLI-0121,Headset Logitech G535,Audio,1,86100
10095,2024-01-19,CLI-0292,Mouse Logitech MX Master 3,Perifericos,2,84690
10096,2024-01-19,CLI-0021,Repetidor WiFi Mesh,Redes,1,82260
10097,2024-01-19,CLI-0299,Switch Cisco 24p,Redes,2,234860
10098,2024-01-19,CLI-0134,"Monitor Portátil 15""",Monitores,3,200190
10099,2024-01-22,CLI-0161,Mouse Logitech MX Master 3,Perifericos,1,88520
10100,2024-01-22,CLI-0068,Adobe Creative Cloud,Software,3,77440
10101,2024-01-22,CLI-0235,Mousepad XL RGB,Perifericos,6,29940
10102,2024-01-22,CLI-0038,Notebook HP 15s,Laptops,2,543800
10103,2024-01-22,CLI-0289,PC Escritorio Dell OptiPlex,Desktops,1,751020
10104,2024-01-22,CLI-0110,NAS Synology DS220+,Almacenamiento,1,463590
10105,2024-01-22,CLI-0179,Notebook ASUS VivoBook,Laptops,5,501930
10106,2024-01-22,CLI-0190,Webcam Logitech C925e,Perifericos,1,92390
10107,2024-01-23,CLI-0279,Hub USB-C Anker,Perifericos,2,57500
10108,2024-01-23,CLI-0271,Notebook HP 15s,Laptops,3,489100
10109,2024-01-23,CLI-0284,Hub USB-C Anker,Perifericos,8,51550
10110,2024-01-23,CLI-0054,Mini PC ASUS PN50,Desktops,1,473710
10111,2024-01-23,CLI-0055,Router Eero Pro 6,Redes,1,314240
10112,2024-01-23,CLI-0145,Router TP-Link Archer,Redes,1,86140
10113,2024-01-23,CLI-0176,"Monitor Portátil 15""",Monitores,3,200970
10114,2024-01-23,CLI-0136,NAS Synology DS220+,Almacenamiento,2,488130
10115,2024-01-23,CLI-0027,Chromebook Acer,Laptops,3,317640
10116,2024-01-24,CLI-0142,MacBook Air M2,Laptops,1,1260770
10117,2024-01-24,CLI-0067,Licencia Office 365 Anual,Software,10,84310
10118,2024-01-24,CLI-0083,Soundbar LG,Audio,2,139590
10119,2024-01-24,CLI-0219,Router Eero Pro 6,Redes,1,304520
10120,2024-01-24,CLI-0039,Windows 11 Pro,Software,6,113200
10121,2024-01-24,CLI-0280,MacBook Air M2,Laptops,4,1262330
10122,2024-01-24,CLI-0299,Router Eero Pro 6,Redes,1,290890
10123,2024-01-24,CLI-0066,MacBook Air M2,Laptops,1,1131610
10124,2024-01-24,CLI-0021,Dock Station HP,Perifericos,1,202790
10125,2024-01-25,CLI-0128,Adobe Creative Cloud,Software,1,74300
10126,2024-01-25,CLI-0287,Micrófono Blue Yeti X,Audio,10,180100
10127,2024-01-25,CLI-0080,Mouse Logitech MX Master 3,Perifericos,5,83560
10128,2024-01-25,CLI-0091,Micrófono Blue Yeti X,Audio,1,192760
10129,2024-01-26,CLI-0171,Micrófono Blue Yeti X,Audio,4,181990
10130,2024-01-26,CLI-0128,Teclado Mecánico Keychron K2,Perifericos,1,143980
10131,2024-01-26,CLI-0056,AirPods Pro 2,Audio,5,252840
